WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 8, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-03 08:15:36.911224: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-03 08:15:37.455351: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 1)
MS_converted_PAN shape: (8, 264, 264, 1)
<tf.Variable 'pP_ED/encoder/conv1/kernel:0' shape=(3, 3, 4, 32) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 1) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/bias:0' shape=(1,) dtype=float32_ref>
2021-12-03 08:15:43.666963: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/8: step:100, lr:0.0019286198, loss:0.078204304, pPAN_max:0.88605607, pPAN_min:0.046271622, elapsed_time:0:00:35.270728

Epoch:1/8: step:200, lr:0.0018597872, loss:0.045958273, pPAN_max:0.67462885, pPAN_min:0.09408808, elapsed_time:0:01:01.818139

Epoch:1/8: step:300, lr:0.0017934111, loss:0.04726301, pPAN_max:0.6483947, pPAN_min:0.09784466, elapsed_time:0:01:28.163334

Epoch:1/8: step:400, lr:0.0017294041, loss:0.044917896, pPAN_max:0.7278262, pPAN_min:0.0020268261, elapsed_time:0:01:54.176248

Epoch:1/8: step:500, lr:0.0016676813, loss:0.08142188, pPAN_max:0.83487487, pPAN_min:0.09097311, elapsed_time:0:02:20.936429

WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/training/saver.py:1056: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Epoch:1/8: step:600, lr:0.0016081616, loss:0.06660232, pPAN_max:0.8867536, pPAN_min:0.10844925, elapsed_time:0:02:47.404043

Epoch:2/8: step:700, lr:0.001550766, loss:0.02836183, pPAN_max:0.71531045, pPAN_min:0.096904546, elapsed_time:0:03:16.505312

Epoch:2/8: step:800, lr:0.0014954191, loss:0.01759478, pPAN_max:0.5971796, pPAN_min:0.14719108, elapsed_time:0:03:42.987048

Epoch:2/8: step:900, lr:0.0014420473, loss:0.032935288, pPAN_max:0.57700896, pPAN_min:0.00023272634, elapsed_time:0:04:09.154794

Epoch:2/8: step:1000, lr:0.0013905803, loss:0.024948118, pPAN_max:0.8470419, pPAN_min:0.14394611, elapsed_time:0:04:35.719161

Epoch:2/8: step:1100, lr:0.0013409505, loss:0.03736484, pPAN_max:0.914249, pPAN_min:0.14992723, elapsed_time:0:05:02.217457

Epoch:2/8: step:1200, lr:0.0012930918, loss:0.02343888, pPAN_max:0.870098, pPAN_min:0.09476021, elapsed_time:0:05:28.495401

Epoch:3/8: step:1300, lr:0.0012469412, loss:0.016796509, pPAN_max:0.46127042, pPAN_min:0.15152869, elapsed_time:0:05:57.729746

Epoch:3/8: step:1400, lr:0.0012024377, loss:0.020392746, pPAN_max:0.6369511, pPAN_min:0.1451242, elapsed_time:0:06:24.253537

Epoch:3/8: step:1500, lr:0.0011595224, loss:0.02398893, pPAN_max:0.8447994, pPAN_min:0.14941937, elapsed_time:0:06:50.693585

Epoch:3/8: step:1600, lr:0.001118139, loss:0.03207942, pPAN_max:0.89288425, pPAN_min:0.10269731, elapsed_time:0:07:17.125862

