WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 8, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-03 07:25:21.159044: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-03 07:25:21.650813: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 1)
MS_converted_PAN shape: (8, 264, 264, 1)
<tf.Variable 'pP_ED/encoder/conv1/kernel:0' shape=(3, 3, 4, 32) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 1) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/bias:0' shape=(1,) dtype=float32_ref>
2021-12-03 07:25:27.574959: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/8: step:10, lr:0.0019927449, loss:25.921583, pPAN_max:1.0, pPAN_min:0.96119237, elapsed_time:0:00:10.805328

Epoch:1/8: step:20, lr:0.0019855157, loss:16.531311, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:13.460728

Epoch:1/8: step:30, lr:0.0019783129, loss:4.164991, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:16.072794

Epoch:1/8: step:40, lr:0.001971136, loss:7.087364, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:18.715296

Epoch:1/8: step:50, lr:0.0019639856, loss:14.500621, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:21.352068

Epoch:1/8: step:60, lr:0.001956861, loss:5.965922, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:24.159758

Epoch:1/8: step:70, lr:0.0019497622, loss:6.6390314, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:26.894045

Epoch:1/8: step:80, lr:0.0019426891, loss:9.255455, pPAN_max:1.0, pPAN_min:0.9999922, elapsed_time:0:00:29.631656

Epoch:1/8: step:90, lr:0.0019356417, loss:26.176174, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:32.274610

Epoch:1/8: step:100, lr:0.0019286198, loss:37.063034, pPAN_max:1.0, pPAN_min:0.999992, elapsed_time:0:00:35.029429

Epoch:1/8: step:110, lr:0.0019216236, loss:4.3016405, pPAN_max:1.0, pPAN_min:0.99999183, elapsed_time:0:00:37.653179

Epoch:1/8: step:120, lr:0.0019146524, loss:18.069138, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:40.292792

Epoch:1/8: step:130, lr:0.0019077066, loss:10.639653, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:42.998269

Epoch:1/8: step:140, lr:0.0019007862, loss:26.035898, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:45.706429

Epoch:1/8: step:150, lr:0.0018938907, loss:26.427097, pPAN_max:1.0, pPAN_min:0.9999911, elapsed_time:0:00:48.366309

Epoch:1/8: step:160, lr:0.0018870204, loss:16.119345, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:51.032971

Epoch:1/8: step:170, lr:0.0018801749, loss:11.792782, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:53.844303

Epoch:1/8: step:180, lr:0.0018733543, loss:9.985153, pPAN_max:1.0, pPAN_min:0.99999046, elapsed_time:0:00:56.554726

Epoch:1/8: step:190, lr:0.0018665583, loss:6.2658043, pPAN_max:1.0, pPAN_min:1.0, elapsed_time:0:00:59.227152

