WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 20, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-05 06:33:14.970434: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-05 06:33:16.673402: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38414 MB memory:  -> device: 0, name: A100-PCIE-40GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2021-12-05 06:33:16.675303: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:1 with 38414 MB memory:  -> device: 1, name: A100-PCIE-40GB, pci bus id: 0000:82:00.0, compute capability: 8.0
2021-12-05 06:33:16.677074: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:2 with 38414 MB memory:  -> device: 2, name: A100-PCIE-40GB, pci bus id: 0000:c1:00.0, compute capability: 8.0
2021-12-05 06:33:16.678831: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:3 with 38414 MB memory:  -> device: 3, name: A100-PCIE-40GB, pci bus id: 0000:c2:00.0, compute capability: 8.0
out shape: (8, 264, 264, 1)
MS_converted_PAN shape: (8, 264, 264, 1)
<tf.Variable 'pP_ED/encoder/conv1/kernel:0' shape=(3, 3, 4, 32) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 1) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/bias:0' shape=(1,) dtype=float32_ref>
2021-12-05 06:33:21.319877: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/20: step:100, lr:0.0019286198, loss:0.04603629, pPAN_max:0.8121122, pPAN_min:0.10336253, elapsed_time:0:00:37.208206

Epoch:1/20: step:200, lr:0.0018597872, loss:0.055218674, pPAN_max:0.82948554, pPAN_min:0.11405048, elapsed_time:0:01:05.988798

Epoch:1/20: step:300, lr:0.0017934111, loss:0.05592596, pPAN_max:0.9019834, pPAN_min:0.014349014, elapsed_time:0:01:34.870436

Epoch:1/20: step:400, lr:0.0017294041, loss:0.030906556, pPAN_max:0.5938875, pPAN_min:0.14459154, elapsed_time:0:02:03.669713

Epoch:1/20: step:500, lr:0.0016676813, loss:0.043864105, pPAN_max:0.9295718, pPAN_min:0.11482343, elapsed_time:0:02:32.124570

Epoch:1/20: step:600, lr:0.0016081616, loss:0.040920313, pPAN_max:0.8243594, pPAN_min:0.0009174049, elapsed_time:0:03:00.460773

Epoch:2/20: step:700, lr:0.001550766, loss:0.037243318, pPAN_max:0.63701063, pPAN_min:0.1067785, elapsed_time:0:03:30.700821

Epoch:2/20: step:800, lr:0.0014954191, loss:0.034810286, pPAN_max:0.825513, pPAN_min:0.08797893, elapsed_time:0:03:59.268810

Epoch:2/20: step:900, lr:0.0014420473, loss:0.025641834, pPAN_max:0.61255527, pPAN_min:0.11767587, elapsed_time:0:04:27.478472

Epoch:2/20: step:1000, lr:0.0013905803, loss:0.06430971, pPAN_max:0.70454586, pPAN_min:0.0005463958, elapsed_time:0:04:55.638062

Epoch:2/20: step:1100, lr:0.0013409505, loss:0.018010687, pPAN_max:0.48206457, pPAN_min:0.12747848, elapsed_time:0:05:24.314340

Epoch:2/20: step:1200, lr:0.0012930918, loss:0.023971682, pPAN_max:0.8056453, pPAN_min:0.00031003356, elapsed_time:0:05:52.770124

Epoch:3/20: step:1300, lr:0.0012469412, loss:0.038016807, pPAN_max:0.5979518, pPAN_min:0.00030338764, elapsed_time:0:06:23.206762

Epoch:3/20: step:1400, lr:0.0012024377, loss:0.029856019, pPAN_max:0.9401554, pPAN_min:0.102630734, elapsed_time:0:06:51.081122

Epoch:3/20: step:1500, lr:0.0011595224, loss:0.06611862, pPAN_max:0.7660836, pPAN_min:0.00023010373, elapsed_time:0:07:19.284846

Epoch:3/20: step:1600, lr:0.001118139, loss:0.020473886, pPAN_max:0.77527964, pPAN_min:0.118826956, elapsed_time:0:07:47.656254

Epoch:3/20: step:1700, lr:0.0010782324, loss:0.026730448, pPAN_max:0.88412976, pPAN_min:0.08163124, elapsed_time:0:08:16.155998

Epoch:3/20: step:1800, lr:0.0010397503, loss:0.027547846, pPAN_max:0.8538818, pPAN_min:0.06754267, elapsed_time:0:08:44.412262

Epoch:4/20: step:1900, lr:0.0010026414, loss:0.021091342, pPAN_max:0.6403967, pPAN_min:0.08347422, elapsed_time:0:09:14.847527

Epoch:4/20: step:2000, lr:0.000966857, loss:0.04425943, pPAN_max:0.85088295, pPAN_min:0.12254524, elapsed_time:0:09:43.345439

Epoch:4/20: step:2100, lr:0.00093234977, loss:0.031515256, pPAN_max:0.85621643, pPAN_min:0.1117599, elapsed_time:0:10:11.620230

Epoch:4/20: step:2200, lr:0.00089907413, loss:0.044386186, pPAN_max:0.703746, pPAN_min:0.12982333, elapsed_time:0:10:39.911472

Epoch:4/20: step:2300, lr:0.000866986, loss:0.043152653, pPAN_max:0.85915244, pPAN_min:0.000100016594, elapsed_time:0:11:07.945427

Epoch:4/20: step:2400, lr:0.00083604315, loss:0.018267967, pPAN_max:0.85395026, pPAN_min:0.14475471, elapsed_time:0:11:36.219958

Epoch:5/20: step:2500, lr:0.0008062047, loss:0.020357622, pPAN_max:0.8811308, pPAN_min:8.162856e-05, elapsed_time:0:12:06.686453

Epoch:5/20: step:2600, lr:0.0007774311, loss:0.02282454, pPAN_max:0.90751064, pPAN_min:0.11398104, elapsed_time:0:12:35.003205

Epoch:5/20: step:2700, lr:0.0007496844, loss:0.039034642, pPAN_max:0.58838314, pPAN_min:0.10978699, elapsed_time:0:13:03.106460

Epoch:5/20: step:2800, lr:0.00072292815, loss:0.02714722, pPAN_max:0.63818246, pPAN_min:0.119185686, elapsed_time:0:13:31.560615

Epoch:5/20: step:2900, lr:0.00069712667, loss:0.013690764, pPAN_max:0.6522132, pPAN_min:0.0001116693, elapsed_time:0:13:59.887521

Epoch:5/20: step:3000, lr:0.0006722462, loss:0.017285515, pPAN_max:0.95885146, pPAN_min:0.14180797, elapsed_time:0:14:28.336841

Epoch:6/20: step:3100, lr:0.0006482537, loss:0.034535352, pPAN_max:0.9446023, pPAN_min:0.13683543, elapsed_time:0:14:58.509339

Epoch:6/20: step:3200, lr:0.00062511745, loss:0.024011867, pPAN_max:0.7044585, pPAN_min:0.08911806, elapsed_time:0:15:26.768500

Epoch:6/20: step:3300, lr:0.00060280686, loss:0.01160816, pPAN_max:0.79157346, pPAN_min:6.890297e-05, elapsed_time:0:15:54.998606

Epoch:6/20: step:3400, lr:0.0005812926, loss:0.018839354, pPAN_max:0.63628304, pPAN_min:0.11709803, elapsed_time:0:16:23.277488

Epoch:6/20: step:3500, lr:0.00056054624, loss:0.055313557, pPAN_max:0.9838742, pPAN_min:0.068758726, elapsed_time:0:16:51.714478

Epoch:6/20: step:3600, lr:0.00054054026, loss:0.02213472, pPAN_max:0.9094422, pPAN_min:0.15924436, elapsed_time:0:17:20.345117

Epoch:7/20: step:3700, lr:0.0005212483, loss:0.020875059, pPAN_max:0.94489545, pPAN_min:0.13112226, elapsed_time:0:17:51.055811

Epoch:7/20: step:3800, lr:0.00050264486, loss:0.018666876, pPAN_max:0.5976719, pPAN_min:0.13463837, elapsed_time:0:18:19.480924

Epoch:7/20: step:3900, lr:0.0004847054, loss:0.030127706, pPAN_max:0.7841245, pPAN_min:0.107007146, elapsed_time:0:18:47.953232

Epoch:7/20: step:4000, lr:0.00046740618, loss:0.011286525, pPAN_max:0.51080954, pPAN_min:0.13105536, elapsed_time:0:19:16.362759

Epoch:7/20: step:4100, lr:0.00045072442, loss:0.021584705, pPAN_max:0.60489, pPAN_min:0.14378491, elapsed_time:0:19:44.727262

Epoch:7/20: step:4200, lr:0.000434638, loss:0.016600613, pPAN_max:0.917218, pPAN_min:0.09268436, elapsed_time:0:20:13.306193

Epoch:8/20: step:4300, lr:0.0004191257, loss:0.018632194, pPAN_max:0.86324245, pPAN_min:0.117388874, elapsed_time:0:20:43.760753

Epoch:8/20: step:4400, lr:0.00040416713, loss:0.013625236, pPAN_max:0.8094077, pPAN_min:0.09179282, elapsed_time:0:21:12.256466

Epoch:8/20: step:4500, lr:0.00038974232, loss:0.024226839, pPAN_max:0.6752901, pPAN_min:0.1562261, elapsed_time:0:21:40.944556

Epoch:8/20: step:4600, lr:0.00037583234, loss:0.025918059, pPAN_max:0.78824186, pPAN_min:0.11665338, elapsed_time:0:22:09.809400

Epoch:8/20: step:4700, lr:0.00036241888, loss:0.02627925, pPAN_max:0.6556484, pPAN_min:0.12764534, elapsed_time:0:22:38.312791

Epoch:8/20: step:4800, lr:0.00034948406, loss:0.021227783, pPAN_max:0.72279274, pPAN_min:0.10584894, elapsed_time:0:23:06.954436

Epoch:8/20: step:4900, lr:0.00033701095, loss:0.0324535, pPAN_max:0.6401566, pPAN_min:0.09361237, elapsed_time:0:23:35.368341

Epoch:9/20: step:5000, lr:0.00032498295, loss:0.017137328, pPAN_max:0.8553806, pPAN_min:0.112700135, elapsed_time:0:24:06.041979

Epoch:9/20: step:5100, lr:0.00031338428, loss:0.025147673, pPAN_max:0.8278245, pPAN_min:0.10039535, elapsed_time:0:24:34.521827

Epoch:9/20: step:5200, lr:0.00030219954, loss:0.017082207, pPAN_max:0.7951688, pPAN_min:0.11479497, elapsed_time:0:25:03.016639

Epoch:9/20: step:5300, lr:0.000291414, loss:0.025042996, pPAN_max:0.90050656, pPAN_min:0.10304877, elapsed_time:0:25:31.595619

Epoch:9/20: step:5400, lr:0.00028101337, loss:0.033853196, pPAN_max:0.70633686, pPAN_min:0.12138897, elapsed_time:0:26:00.002502

Epoch:9/20: step:5500, lr:0.00027098405, loss:0.023855016, pPAN_max:0.94541323, pPAN_min:5.686283e-05, elapsed_time:0:26:28.367200

Epoch:10/20: step:5600, lr:0.00026131255, loss:0.018024307, pPAN_max:0.9373671, pPAN_min:4.1633844e-05, elapsed_time:0:26:58.902957

Epoch:10/20: step:5700, lr:0.00025198626, loss:0.016241647, pPAN_max:0.728011, pPAN_min:0.1209206, elapsed_time:0:27:27.311942

Epoch:10/20: step:5800, lr:0.00024299283, loss:0.021781616, pPAN_max:0.9144784, pPAN_min:6.699562e-05, elapsed_time:0:27:55.699641

Epoch:10/20: step:5900, lr:0.00023432038, loss:0.020734489, pPAN_max:0.7026613, pPAN_min:0.10959694, elapsed_time:0:28:24.137354

Epoch:10/20: step:6000, lr:0.00022595745, loss:0.015491119, pPAN_max:0.8970363, pPAN_min:0.16147104, elapsed_time:0:28:52.471517

Epoch:10/20: step:6100, lr:0.00021789307, loss:0.022824297, pPAN_max:0.5105951, pPAN_min:4.810095e-05, elapsed_time:0:29:21.044851

Epoch:11/20: step:6200, lr:0.00021011643, loss:0.024474127, pPAN_max:0.71270627, pPAN_min:0.11146659, elapsed_time:0:29:51.505755

Epoch:11/20: step:6300, lr:0.00020261735, loss:0.029568758, pPAN_max:0.5060294, pPAN_min:0.109022856, elapsed_time:0:30:19.906754

Epoch:11/20: step:6400, lr:0.0001953859, loss:0.026092675, pPAN_max:0.83240885, pPAN_min:0.11212838, elapsed_time:0:30:48.140600

Epoch:11/20: step:6500, lr:0.00018841254, loss:0.025565792, pPAN_max:0.9299303, pPAN_min:4.1753054e-05, elapsed_time:0:31:16.557992

Epoch:11/20: step:6600, lr:0.00018168807, loss:0.020029776, pPAN_max:0.8845682, pPAN_min:5.8084726e-05, elapsed_time:0:31:45.121983

Epoch:11/20: step:6700, lr:0.00017520359, loss:0.022787426, pPAN_max:0.74220204, pPAN_min:0.1213758, elapsed_time:0:32:13.622251

Epoch:12/20: step:6800, lr:0.00016895056, loss:0.028782142, pPAN_max:0.798564, pPAN_min:6.350875e-05, elapsed_time:0:32:44.210165

Epoch:12/20: step:6900, lr:0.00016292071, loss:0.015647642, pPAN_max:0.60118955, pPAN_min:0.107346594, elapsed_time:0:33:12.812857

Epoch:12/20: step:7000, lr:0.00015710603, loss:0.016919436, pPAN_max:0.7918967, pPAN_min:0.09749955, elapsed_time:0:33:41.536298

Epoch:12/20: step:7100, lr:0.0001514989, loss:0.028650308, pPAN_max:0.85055685, pPAN_min:0.1277309, elapsed_time:0:34:10.278893

Epoch:12/20: step:7200, lr:0.00014609187, loss:0.022257583, pPAN_max:0.9176569, pPAN_min:0.096027404, elapsed_time:0:34:39.128670

Epoch:12/20: step:7300, lr:0.00014087783, loss:0.022262225, pPAN_max:0.9126034, pPAN_min:0.07851869, elapsed_time:0:35:07.478273

