WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 16, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-05 01:54:29.164707: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-05 01:54:30.855494: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38414 MB memory:  -> device: 0, name: A100-PCIE-40GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2021-12-05 01:54:30.857373: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:1 with 38414 MB memory:  -> device: 1, name: A100-PCIE-40GB, pci bus id: 0000:82:00.0, compute capability: 8.0
2021-12-05 01:54:30.859164: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:2 with 38414 MB memory:  -> device: 2, name: A100-PCIE-40GB, pci bus id: 0000:c1:00.0, compute capability: 8.0
2021-12-05 01:54:30.860918: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:3 with 38414 MB memory:  -> device: 3, name: A100-PCIE-40GB, pci bus id: 0000:c2:00.0, compute capability: 8.0
out shape: (8, 264, 264, 1)
MS_converted_PAN shape: (8, 264, 264, 1)
<tf.Variable 'pP_ED/encoder/conv1/kernel:0' shape=(3, 3, 4, 32) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 1) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/bias:0' shape=(1,) dtype=float32_ref>
2021-12-05 01:54:35.535753: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/16: step:100, lr:0.0019286198, loss:0.08701093, pPAN_max:0.82174104, pPAN_min:0.019172221, elapsed_time:0:00:35.923498

Epoch:1/16: step:200, lr:0.0018597872, loss:0.08319902, pPAN_max:0.9042008, pPAN_min:0.13592029, elapsed_time:0:01:04.254146

Epoch:1/16: step:300, lr:0.0017934111, loss:0.043763544, pPAN_max:0.7971972, pPAN_min:0.056425333, elapsed_time:0:01:32.508395

Epoch:1/16: step:400, lr:0.0017294041, loss:0.033597507, pPAN_max:0.8832071, pPAN_min:0.17023194, elapsed_time:0:02:01.024495

Epoch:1/16: step:500, lr:0.0016676813, loss:0.050927743, pPAN_max:0.7252698, pPAN_min:0.0016664565, elapsed_time:0:02:29.345038

WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/training/saver.py:1056: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Epoch:1/16: step:600, lr:0.0016081616, loss:0.02538115, pPAN_max:0.7581062, pPAN_min:0.001326263, elapsed_time:0:02:57.810034

Epoch:2/16: step:700, lr:0.001550766, loss:0.031936698, pPAN_max:0.9180051, pPAN_min:0.14808124, elapsed_time:0:03:28.223863

Epoch:2/16: step:800, lr:0.0014954191, loss:0.022336097, pPAN_max:0.75819296, pPAN_min:0.13023141, elapsed_time:0:03:56.637810

Epoch:2/16: step:900, lr:0.0014420473, loss:0.087748155, pPAN_max:0.8353969, pPAN_min:0.041340232, elapsed_time:0:04:25.012984

Epoch:2/16: step:1000, lr:0.0013905803, loss:0.02933421, pPAN_max:0.68438053, pPAN_min:0.1073699, elapsed_time:0:04:53.357492

Epoch:2/16: step:1100, lr:0.0013409505, loss:0.021673163, pPAN_max:0.7871187, pPAN_min:0.00040864944, elapsed_time:0:05:21.870554

Epoch:2/16: step:1200, lr:0.0012930918, loss:0.035387512, pPAN_max:0.83508563, pPAN_min:0.09845865, elapsed_time:0:05:50.278088

Epoch:3/16: step:1300, lr:0.0012469412, loss:0.025329653, pPAN_max:0.79185677, pPAN_min:0.14684922, elapsed_time:0:06:20.718913

Epoch:3/16: step:1400, lr:0.0012024377, loss:0.028591648, pPAN_max:0.6510544, pPAN_min:0.1738371, elapsed_time:0:06:48.970221

Epoch:3/16: step:1500, lr:0.0011595224, loss:0.02764923, pPAN_max:0.6378516, pPAN_min:0.0003530383, elapsed_time:0:07:17.543479

Epoch:3/16: step:1600, lr:0.001118139, loss:0.026751598, pPAN_max:0.76656073, pPAN_min:0.0979512, elapsed_time:0:07:45.789524

Epoch:3/16: step:1700, lr:0.0010782324, loss:0.024079587, pPAN_max:0.93728006, pPAN_min:0.00022995472, elapsed_time:0:08:14.118602

Epoch:3/16: step:1800, lr:0.0010397503, loss:0.026883904, pPAN_max:0.74021965, pPAN_min:0.0003244877, elapsed_time:0:08:42.366469

Epoch:4/16: step:1900, lr:0.0010026414, loss:0.039713576, pPAN_max:0.9018439, pPAN_min:0.14522341, elapsed_time:0:09:12.780531

Epoch:4/16: step:2000, lr:0.000966857, loss:0.02239724, pPAN_max:0.6766104, pPAN_min:0.1272909, elapsed_time:0:09:40.996804

Epoch:4/16: step:2100, lr:0.00093234977, loss:0.048259936, pPAN_max:0.6904816, pPAN_min:0.00015670061, elapsed_time:0:10:09.515653

Epoch:4/16: step:2200, lr:0.00089907413, loss:0.013899453, pPAN_max:0.85746497, pPAN_min:0.10717097, elapsed_time:0:10:37.755133

Epoch:4/16: step:2300, lr:0.000866986, loss:0.0236957, pPAN_max:0.7618491, pPAN_min:0.1026395, elapsed_time:0:11:06.168643

Epoch:4/16: step:2400, lr:0.00083604315, loss:0.023534594, pPAN_max:0.74587375, pPAN_min:0.109485984, elapsed_time:0:11:34.510327

Epoch:5/16: step:2500, lr:0.0008062047, loss:0.024374064, pPAN_max:0.92992175, pPAN_min:0.09756148, elapsed_time:0:12:04.861190

Epoch:5/16: step:2600, lr:0.0007774311, loss:0.025444135, pPAN_max:0.92281735, pPAN_min:0.13918945, elapsed_time:0:12:33.424117

Epoch:5/16: step:2700, lr:0.0007496844, loss:0.023583928, pPAN_max:0.8492342, pPAN_min:0.13517472, elapsed_time:0:13:01.990540

