WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (1296, 264, 264, 1)
gt_data shape: (1296, 264, 264, 4)
data shape: (1296, 264, 264, 5)
Epoches: 80, Batch_size: 8
Train images number 1296, Batches: 162.

2021-12-06 00:10:15.707119: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-06 00:10:17.421263: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38414 MB memory:  -> device: 0, name: A100-PCIE-40GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2021-12-06 00:10:17.423124: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:1 with 38414 MB memory:  -> device: 1, name: A100-PCIE-40GB, pci bus id: 0000:82:00.0, compute capability: 8.0
2021-12-06 00:10:17.424910: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:2 with 38414 MB memory:  -> device: 2, name: A100-PCIE-40GB, pci bus id: 0000:c1:00.0, compute capability: 8.0
2021-12-06 00:10:17.426693: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:3 with 38414 MB memory:  -> device: 3, name: A100-PCIE-40GB, pci bus id: 0000:c2:00.0, compute capability: 8.0
out shape: (8, 264, 264, 1)
MS_converted_PAN shape: (8, 264, 264, 1)
<tf.Variable 'pP_ED/encoder/conv1/kernel:0' shape=(3, 3, 4, 32) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pP_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 1) dtype=float32_ref>
<tf.Variable 'pP_ED_1/decoder/conv2_3/bias:0' shape=(1,) dtype=float32_ref>
2021-12-06 00:10:20.581927: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/80: step:100, lr:0.0018740649, loss:0.06333789, pPAN_max:0.8087994, pPAN_min:0.031815678, elapsed_time:0:00:28.479507

Epoch:2/80: step:200, lr:0.0017560596, loss:0.017387414, pPAN_max:0.8401388, pPAN_min:0.031175256, elapsed_time:0:00:50.740509

Epoch:2/80: step:300, lr:0.0016454849, loss:0.013635053, pPAN_max:0.8438516, pPAN_min:0.028587699, elapsed_time:0:01:12.474709

Epoch:3/80: step:400, lr:0.0015418726, loss:0.012907981, pPAN_max:0.84806585, pPAN_min:0.02770415, elapsed_time:0:01:34.732679

Epoch:4/80: step:500, lr:0.0014447847, loss:0.01256603, pPAN_max:0.84855705, pPAN_min:0.027368069, elapsed_time:0:01:56.953933

Epoch:4/80: step:600, lr:0.0013538103, loss:0.013882307, pPAN_max:0.83389896, pPAN_min:0.025791705, elapsed_time:0:02:18.673073

Epoch:5/80: step:700, lr:0.001268564, loss:0.011901197, pPAN_max:0.84991974, pPAN_min:0.026473194, elapsed_time:0:02:40.936350

Epoch:5/80: step:800, lr:0.0011886858, loss:0.011777981, pPAN_max:0.84927154, pPAN_min:0.026461035, elapsed_time:0:03:02.810134

Epoch:6/80: step:900, lr:0.0011138369, loss:0.011544076, pPAN_max:0.84995294, pPAN_min:0.02622065, elapsed_time:0:03:25.004074

Epoch:7/80: step:1000, lr:0.0010437015, loss:0.011534501, pPAN_max:0.84690404, pPAN_min:0.02593097, elapsed_time:0:03:47.221913

Epoch:7/80: step:1100, lr:0.0009779821, loss:0.011343135, pPAN_max:0.8516573, pPAN_min:0.026273966, elapsed_time:0:04:08.928178

Epoch:8/80: step:1200, lr:0.00091640104, loss:0.0111903995, pPAN_max:0.84985596, pPAN_min:0.026306003, elapsed_time:0:04:31.207562

Epoch:9/80: step:1300, lr:0.00085869746, loss:0.011201523, pPAN_max:0.8530216, pPAN_min:0.026082516, elapsed_time:0:04:53.501505

Epoch:9/80: step:1400, lr:0.0008046273, loss:0.011125891, pPAN_max:0.84579164, pPAN_min:0.026026458, elapsed_time:0:05:15.256730

Epoch:10/80: step:1500, lr:0.000753962, loss:0.010967065, pPAN_max:0.84790057, pPAN_min:0.025718927, elapsed_time:0:05:37.685503

Epoch:10/80: step:1600, lr:0.00070648687, loss:0.01085481, pPAN_max:0.8489218, pPAN_min:0.026045114, elapsed_time:0:06:00.142277

Epoch:11/80: step:1700, lr:0.000662001, loss:0.010790234, pPAN_max:0.8528971, pPAN_min:0.025516331, elapsed_time:0:06:23.158105

Epoch:12/80: step:1800, lr:0.0006203165, loss:0.01065004, pPAN_max:0.8508042, pPAN_min:0.024751246, elapsed_time:0:06:46.202674

Epoch:12/80: step:1900, lr:0.0005812566, loss:0.010585751, pPAN_max:0.8498907, pPAN_min:0.025978774, elapsed_time:0:07:08.647289

Epoch:13/80: step:2000, lr:0.0005446563, loss:0.010520287, pPAN_max:0.85062, pPAN_min:0.02568534, elapsed_time:0:07:31.629432

Epoch:13/80: step:2100, lr:0.00051036075, loss:0.010487685, pPAN_max:0.8501669, pPAN_min:0.02603373, elapsed_time:0:07:54.009376

Epoch:14/80: step:2200, lr:0.0004782245, loss:0.010415753, pPAN_max:0.85188, pPAN_min:0.025402099, elapsed_time:0:08:17.084776

Epoch:15/80: step:2300, lr:0.0004481119, loss:0.010366284, pPAN_max:0.8531144, pPAN_min:0.026021004, elapsed_time:0:08:40.349509

