WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
1023
source_pan_data shape: (4914, 264, 264, 1)
1053
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 8, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-03 07:55:10.004394: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-03 07:55:10.541934: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-03 07:55:18.122724: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/8: step:10, lr:0.0019927449, loss:1.9602273, pMS_max:0.63024884, pMS_min:0.24859586, elapsed_time:0:00:12.279524

Epoch:1/8: step:20, lr:0.0019855157, loss:0.12455481, pMS_max:0.5022712, pMS_min:0.14995897, elapsed_time:0:00:14.618886

Epoch:1/8: step:30, lr:0.0019783129, loss:0.52659047, pMS_max:0.9947618, pMS_min:0.27629328, elapsed_time:0:00:16.801769

Epoch:1/8: step:40, lr:0.001971136, loss:0.22688895, pMS_max:0.42622343, pMS_min:0.16179329, elapsed_time:0:00:19.060612

Epoch:1/8: step:50, lr:0.0019639856, loss:0.7702819, pMS_max:0.50279945, pMS_min:0.12246895, elapsed_time:0:00:21.373126

Epoch:1/8: step:60, lr:0.001956861, loss:0.2617635, pMS_max:0.9817344, pMS_min:0.13529304, elapsed_time:0:00:23.644272

Epoch:1/8: step:70, lr:0.0019497622, loss:0.45863408, pMS_max:0.91661, pMS_min:0.15578383, elapsed_time:0:00:25.966879

Epoch:1/8: step:80, lr:0.0019426891, loss:0.2632308, pMS_max:0.99054086, pMS_min:0.10349241, elapsed_time:0:00:28.262437

Epoch:1/8: step:90, lr:0.0019356417, loss:0.47328985, pMS_max:0.6320461, pMS_min:0.054840147, elapsed_time:0:00:30.594343

Epoch:1/8: step:100, lr:0.0019286198, loss:0.19587941, pMS_max:0.96562576, pMS_min:0.09564388, elapsed_time:0:00:33.067446

Epoch:1/8: step:110, lr:0.0019216236, loss:0.24538921, pMS_max:0.9742582, pMS_min:0.07398385, elapsed_time:0:00:35.259837

Epoch:1/8: step:120, lr:0.0019146524, loss:0.70405805, pMS_max:0.9940257, pMS_min:0.16920918, elapsed_time:0:00:37.569889

Epoch:1/8: step:130, lr:0.0019077066, loss:0.61378205, pMS_max:0.9948867, pMS_min:0.09564069, elapsed_time:0:00:39.897827

Epoch:1/8: step:140, lr:0.0019007862, loss:0.55130196, pMS_max:0.78954923, pMS_min:0.1661937, elapsed_time:0:00:42.259416

Epoch:1/8: step:150, lr:0.0018938907, loss:0.67929137, pMS_max:0.996959, pMS_min:0.045243293, elapsed_time:0:00:44.453148

Epoch:1/8: step:160, lr:0.0018870204, loss:0.28298646, pMS_max:0.99932194, pMS_min:0.08272472, elapsed_time:0:00:46.724505

Epoch:1/8: step:170, lr:0.0018801749, loss:0.2672447, pMS_max:0.9933299, pMS_min:0.07164335, elapsed_time:0:00:48.959608

Epoch:1/8: step:180, lr:0.0018733543, loss:0.3773836, pMS_max:0.9881818, pMS_min:0.11421606, elapsed_time:0:00:51.215850

Epoch:1/8: step:190, lr:0.0018665583, loss:0.31463695, pMS_max:0.9939233, pMS_min:0.12330994, elapsed_time:0:00:53.535084

