WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 20, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-05 06:32:34.957481: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-05 06:32:35.452394: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-05 06:32:41.899298: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/20: step:100, lr:0.0019286198, loss:0.20510355, pMS_max:0.9957242, pMS_min:0.12728041, elapsed_time:0:00:30.113537

Epoch:1/20: step:200, lr:0.0018597872, loss:0.3337975, pMS_max:0.47252703, pMS_min:0.08107045, elapsed_time:0:00:51.512337

Epoch:1/20: step:300, lr:0.0017934111, loss:0.43111253, pMS_max:0.95677376, pMS_min:0.14151433, elapsed_time:0:01:12.786049

Epoch:1/20: step:400, lr:0.0017294041, loss:0.1574159, pMS_max:0.8744881, pMS_min:0.00209558, elapsed_time:0:01:34.363083

Epoch:1/20: step:500, lr:0.0016676813, loss:0.24427985, pMS_max:0.7140267, pMS_min:1.1742115e-05, elapsed_time:0:01:56.157954

Epoch:1/20: step:600, lr:0.0016081616, loss:0.32595694, pMS_max:0.9964069, pMS_min:0.09428018, elapsed_time:0:02:17.619762

Epoch:2/20: step:700, lr:0.001550766, loss:0.43950123, pMS_max:0.99632084, pMS_min:9.483099e-05, elapsed_time:0:02:41.852605

Epoch:2/20: step:800, lr:0.0014954191, loss:0.22965111, pMS_max:0.6888145, pMS_min:0.096708, elapsed_time:0:03:03.088137

Epoch:2/20: step:900, lr:0.0014420473, loss:0.47713223, pMS_max:0.99674535, pMS_min:0.10267997, elapsed_time:0:03:24.206933

Epoch:2/20: step:1000, lr:0.0013905803, loss:0.19701636, pMS_max:0.98606706, pMS_min:0.09028876, elapsed_time:0:03:45.228422

Epoch:2/20: step:1100, lr:0.0013409505, loss:0.2823599, pMS_max:0.9989643, pMS_min:0.075417995, elapsed_time:0:04:06.816365

Epoch:2/20: step:1200, lr:0.0012930918, loss:0.21361858, pMS_max:0.99231064, pMS_min:0.12026262, elapsed_time:0:04:28.080387

Epoch:3/20: step:1300, lr:0.0012469412, loss:0.2779293, pMS_max:0.99892604, pMS_min:0.057722956, elapsed_time:0:04:52.016481

Epoch:3/20: step:1400, lr:0.0012024377, loss:0.22294167, pMS_max:0.994977, pMS_min:0.055192232, elapsed_time:0:05:13.354460

Epoch:3/20: step:1500, lr:0.0011595224, loss:0.1614311, pMS_max:0.96938264, pMS_min:9.149313e-06, elapsed_time:0:05:34.799502

Epoch:3/20: step:1600, lr:0.001118139, loss:0.57342494, pMS_max:0.9959518, pMS_min:0.07379523, elapsed_time:0:05:56.409120

Epoch:3/20: step:1700, lr:0.0010782324, loss:0.15602079, pMS_max:0.9981618, pMS_min:0.09309116, elapsed_time:0:06:17.352702

Epoch:3/20: step:1800, lr:0.0010397503, loss:0.13749115, pMS_max:0.74185413, pMS_min:0.123573184, elapsed_time:0:06:38.538470

