WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (1296, 264, 264, 1)
gt_data shape: (1296, 264, 264, 4)
data shape: (1296, 264, 264, 5)
Epoches: 50, Batch_size: 8
Train images number 1296, Batches: 162.

2021-12-05 11:42:07.205344: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-05 11:42:07.690745: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-05 11:42:12.097844: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/50: step:100, lr:0.0018740649, loss:0.20004627, pMS_max:0.91035664, pMS_min:0.021140248, elapsed_time:0:00:27.504157

Epoch:2/50: step:200, lr:0.0017560596, loss:0.15230115, pMS_max:0.9016873, pMS_min:0.022270888, elapsed_time:0:00:48.738109

Epoch:2/50: step:300, lr:0.0016454849, loss:0.13042672, pMS_max:0.914116, pMS_min:0.021677017, elapsed_time:0:01:10.137778

Epoch:3/50: step:400, lr:0.0015418726, loss:0.12481352, pMS_max:0.905599, pMS_min:0.018988192, elapsed_time:0:01:31.089664

Epoch:4/50: step:500, lr:0.0014447847, loss:0.11811502, pMS_max:0.91004777, pMS_min:0.018310964, elapsed_time:0:01:51.579395

Epoch:4/50: step:600, lr:0.0013538103, loss:0.11175361, pMS_max:0.90986407, pMS_min:0.015666038, elapsed_time:0:02:11.558929

Epoch:5/50: step:700, lr:0.001268564, loss:0.10496497, pMS_max:0.9168294, pMS_min:0.013001829, elapsed_time:0:02:32.106379

Epoch:5/50: step:800, lr:0.0011886858, loss:0.102564186, pMS_max:0.9077825, pMS_min:0.013163716, elapsed_time:0:02:52.043224

Epoch:6/50: step:900, lr:0.0011138369, loss:0.09778285, pMS_max:0.9268074, pMS_min:0.012317091, elapsed_time:0:03:12.546661

Epoch:7/50: step:1000, lr:0.0010437015, loss:0.09430203, pMS_max:0.9252299, pMS_min:0.014881164, elapsed_time:0:03:33.224414

Epoch:7/50: step:1100, lr:0.0009779821, loss:0.09269985, pMS_max:0.92800236, pMS_min:0.014005244, elapsed_time:0:03:53.361706

Epoch:8/50: step:1200, lr:0.00091640104, loss:0.09019505, pMS_max:0.92797923, pMS_min:0.016083807, elapsed_time:0:04:14.037829

Epoch:9/50: step:1300, lr:0.00085869746, loss:0.08685829, pMS_max:0.93119836, pMS_min:0.016064584, elapsed_time:0:04:34.517736

Epoch:9/50: step:1400, lr:0.0008046273, loss:0.08669834, pMS_max:0.92773557, pMS_min:0.016131312, elapsed_time:0:04:54.255590

Epoch:10/50: step:1500, lr:0.000753962, loss:0.08444607, pMS_max:0.9288556, pMS_min:0.015461236, elapsed_time:0:05:16.328950

Epoch:10/50: step:1600, lr:0.00070648687, loss:0.08148514, pMS_max:0.9304286, pMS_min:0.01678139, elapsed_time:0:05:36.081044

Epoch:11/50: step:1700, lr:0.000662001, loss:0.08088263, pMS_max:0.92910504, pMS_min:0.016723633, elapsed_time:0:05:56.755523

Epoch:12/50: step:1800, lr:0.0006203165, loss:0.07912572, pMS_max:0.9325676, pMS_min:0.015644014, elapsed_time:0:06:17.342289

Epoch:12/50: step:1900, lr:0.0005812566, loss:0.08040801, pMS_max:0.93003964, pMS_min:0.016670227, elapsed_time:0:06:37.132167

