WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 16, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-05 01:54:26.915719: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-05 01:54:27.410152: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-05 01:54:33.920076: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/16: step:100, lr:0.0019286198, loss:0.33777982, pMS_max:0.87003255, pMS_min:0.0039640963, elapsed_time:0:00:30.390577

Epoch:1/16: step:200, lr:0.0018597872, loss:0.58518136, pMS_max:0.99449706, pMS_min:0.0063952804, elapsed_time:0:00:52.027903

Epoch:1/16: step:300, lr:0.0017934111, loss:0.3571546, pMS_max:0.99626195, pMS_min:0.06234458, elapsed_time:0:01:13.873172

Epoch:1/16: step:400, lr:0.0017294041, loss:0.2294276, pMS_max:0.9719067, pMS_min:0.14527202, elapsed_time:0:01:35.352106

Epoch:1/16: step:500, lr:0.0016676813, loss:0.3635832, pMS_max:0.9908385, pMS_min:0.1747761, elapsed_time:0:01:57.293814

Epoch:1/16: step:600, lr:0.0016081616, loss:0.28430265, pMS_max:0.6171791, pMS_min:0.06618339, elapsed_time:0:02:19.367565

Epoch:2/16: step:700, lr:0.001550766, loss:0.49694636, pMS_max:0.99949944, pMS_min:0.065909356, elapsed_time:0:02:43.354413

Epoch:2/16: step:800, lr:0.0014954191, loss:0.20999317, pMS_max:0.9560199, pMS_min:0.00020352006, elapsed_time:0:03:04.988972

Epoch:2/16: step:900, lr:0.0014420473, loss:0.25226104, pMS_max:0.9962771, pMS_min:0.033198684, elapsed_time:0:03:26.698593

Epoch:2/16: step:1000, lr:0.0013905803, loss:0.20290779, pMS_max:0.99689054, pMS_min:0.14435488, elapsed_time:0:03:48.260523

Epoch:2/16: step:1100, lr:0.0013409505, loss:0.33707213, pMS_max:0.98578566, pMS_min:0.10077676, elapsed_time:0:04:09.794241

Epoch:2/16: step:1200, lr:0.0012930918, loss:0.22049648, pMS_max:0.6744912, pMS_min:0.000106692314, elapsed_time:0:04:31.724001

Epoch:3/16: step:1300, lr:0.0012469412, loss:0.18545221, pMS_max:0.9834425, pMS_min:0.11192536, elapsed_time:0:04:56.431593

Epoch:3/16: step:1400, lr:0.0012024377, loss:0.48638463, pMS_max:0.99956846, pMS_min:0.15417764, elapsed_time:0:05:17.923769

Epoch:3/16: step:1500, lr:0.0011595224, loss:0.21744895, pMS_max:0.9966833, pMS_min:0.095345974, elapsed_time:0:05:39.578205

Epoch:3/16: step:1600, lr:0.001118139, loss:0.14587556, pMS_max:0.9939798, pMS_min:0.14841208, elapsed_time:0:06:02.050253

Epoch:3/16: step:1700, lr:0.0010782324, loss:0.31638974, pMS_max:0.9469136, pMS_min:0.10830423, elapsed_time:0:06:24.003281

Epoch:3/16: step:1800, lr:0.0010397503, loss:0.32628375, pMS_max:0.99198043, pMS_min:0.014672875, elapsed_time:0:06:46.308713

Epoch:4/16: step:1900, lr:0.0010026414, loss:0.53325605, pMS_max:0.98845303, pMS_min:0.12719244, elapsed_time:0:07:10.352288
