WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (1296, 264, 264, 1)
gt_data shape: (1296, 264, 264, 4)
data shape: (1296, 264, 264, 5)
Epoches: 80, Batch_size: 8
Train images number 1296, Batches: 162.

2021-12-06 00:03:32.293938: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-06 00:03:32.786225: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-06 00:03:37.267293: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/80: step:100, lr:0.0018740649, loss:0.23502596, pMS_max:0.8772718, pMS_min:0.020643264, elapsed_time:0:00:27.267311

Epoch:2/80: step:200, lr:0.0017560596, loss:0.15178365, pMS_max:0.90488803, pMS_min:0.022701234, elapsed_time:0:00:48.600502

Epoch:2/80: step:300, lr:0.0016454849, loss:0.13277744, pMS_max:0.90270656, pMS_min:0.019956052, elapsed_time:0:01:08.941741

Epoch:3/80: step:400, lr:0.0015418726, loss:0.12142561, pMS_max:0.9177037, pMS_min:0.021388322, elapsed_time:0:01:29.555461

Epoch:4/80: step:500, lr:0.0014447847, loss:0.11916222, pMS_max:0.9114703, pMS_min:0.018164426, elapsed_time:0:01:50.682398

Epoch:4/80: step:600, lr:0.0013538103, loss:0.11226179, pMS_max:0.92185223, pMS_min:0.016985893, elapsed_time:0:02:10.358645

Epoch:5/80: step:700, lr:0.001268564, loss:0.107170984, pMS_max:0.9127594, pMS_min:0.014111042, elapsed_time:0:02:31.237724

Epoch:5/80: step:800, lr:0.0011886858, loss:0.10261665, pMS_max:0.92078006, pMS_min:0.01290974, elapsed_time:0:02:53.138804

Epoch:6/80: step:900, lr:0.0011138369, loss:0.10334651, pMS_max:0.91714805, pMS_min:0.012840241, elapsed_time:0:03:14.385446

Epoch:7/80: step:1000, lr:0.0010437015, loss:0.1002093, pMS_max:0.93740094, pMS_min:0.0125695765, elapsed_time:0:03:34.943501

Epoch:7/80: step:1100, lr:0.0009779821, loss:0.096710674, pMS_max:0.930812, pMS_min:0.012342542, elapsed_time:0:03:55.744562

Epoch:8/80: step:1200, lr:0.00091640104, loss:0.10285068, pMS_max:0.931389, pMS_min:0.011067033, elapsed_time:0:04:16.727152

Epoch:9/80: step:1300, lr:0.00085869746, loss:0.09956078, pMS_max:0.94011605, pMS_min:0.011781126, elapsed_time:0:04:41.315203

Epoch:9/80: step:1400, lr:0.0008046273, loss:0.09083613, pMS_max:0.9282087, pMS_min:0.013579607, elapsed_time:0:05:01.523443

Epoch:10/80: step:1500, lr:0.000753962, loss:0.08826105, pMS_max:0.9365715, pMS_min:0.014048874, elapsed_time:0:05:22.224629

Epoch:10/80: step:1600, lr:0.00070648687, loss:0.09001172, pMS_max:0.9374127, pMS_min:0.015152484, elapsed_time:0:05:42.273184

Epoch:11/80: step:1700, lr:0.000662001, loss:0.08672911, pMS_max:0.9330956, pMS_min:0.016451418, elapsed_time:0:06:02.853144

Epoch:12/80: step:1800, lr:0.0006203165, loss:0.087930754, pMS_max:0.94269556, pMS_min:0.012419462, elapsed_time:0:06:23.257460

Epoch:12/80: step:1900, lr:0.0005812566, loss:0.08534856, pMS_max:0.93794394, pMS_min:0.012543023, elapsed_time:0:06:44.524794

Epoch:13/80: step:2000, lr:0.0005446563, loss:0.081899896, pMS_max:0.94313926, pMS_min:0.015033245, elapsed_time:0:07:05.416816

Epoch:13/80: step:2100, lr:0.00051036075, loss:0.08041213, pMS_max:0.9334452, pMS_min:0.016668528, elapsed_time:0:07:25.368579

Epoch:14/80: step:2200, lr:0.0004782245, loss:0.07919902, pMS_max:0.94164926, pMS_min:0.014849663, elapsed_time:0:07:46.150776

Epoch:15/80: step:2300, lr:0.0004481119, loss:0.079913266, pMS_max:0.93751717, pMS_min:0.013887435, elapsed_time:0:08:06.614064

Epoch:15/80: step:2400, lr:0.00041989537, loss:0.07650332, pMS_max:0.93652797, pMS_min:0.016154677, elapsed_time:0:08:26.598433

Epoch:16/80: step:2500, lr:0.00039345556, loss:0.07337246, pMS_max:0.93789804, pMS_min:0.016535997, elapsed_time:0:08:48.985753

Epoch:17/80: step:2600, lr:0.00036868063, loss:0.07388049, pMS_max:0.94051933, pMS_min:0.01746586, elapsed_time:0:09:09.834554

Epoch:17/80: step:2700, lr:0.00034546576, loss:0.073790744, pMS_max:0.94010246, pMS_min:0.017616361, elapsed_time:0:09:29.871754

Epoch:18/80: step:2800, lr:0.00032371256, loss:0.07109496, pMS_max:0.93971527, pMS_min:0.017605633, elapsed_time:0:09:50.506287

Epoch:18/80: step:2900, lr:0.0003033292, loss:0.07119079, pMS_max:0.93987364, pMS_min:0.017416894, elapsed_time:0:10:10.494636

Epoch:19/80: step:3000, lr:0.00028422935, loss:0.06927556, pMS_max:0.9402683, pMS_min:0.016845971, elapsed_time:0:10:31.104537

Epoch:20/80: step:3100, lr:0.00026633203, loss:0.07017138, pMS_max:0.9363464, pMS_min:0.017413288, elapsed_time:0:10:51.686930

Epoch:20/80: step:3200, lr:0.0002495618, loss:0.06691394, pMS_max:0.938933, pMS_min:0.017621458, elapsed_time:0:11:13.155739

Epoch:21/80: step:3300, lr:0.00023384747, loss:0.069224626, pMS_max:0.938463, pMS_min:0.016274065, elapsed_time:0:11:33.708155

Epoch:21/80: step:3400, lr:0.00021912271, loss:0.066762395, pMS_max:0.93960834, pMS_min:0.016735435, elapsed_time:0:11:53.651968

Epoch:22/80: step:3500, lr:0.00020532508, loss:0.06518873, pMS_max:0.93843925, pMS_min:0.016413182, elapsed_time:0:12:14.245083

Epoch:23/80: step:3600, lr:0.00019239623, loss:0.064677544, pMS_max:0.94064045, pMS_min:0.016494364, elapsed_time:0:12:38.715903

Epoch:23/80: step:3700, lr:0.00018028154, loss:0.06401059, pMS_max:0.940623, pMS_min:0.016472489, elapsed_time:0:12:58.623661

Epoch:24/80: step:3800, lr:0.00016892965, loss:0.0634158, pMS_max:0.9405762, pMS_min:0.015990287, elapsed_time:0:13:19.366472

Epoch:25/80: step:3900, lr:0.00015829258, loss:0.06292833, pMS_max:0.9413372, pMS_min:0.015535951, elapsed_time:0:13:40.212160

Epoch:25/80: step:4000, lr:0.00014832527, loss:0.06529364, pMS_max:0.94172317, pMS_min:0.014940828, elapsed_time:0:14:00.046882

Epoch:26/80: step:4100, lr:0.00013898559, loss:0.062132094, pMS_max:0.9405333, pMS_min:0.015738577, elapsed_time:0:14:20.676426

Epoch:26/80: step:4200, lr:0.00013023401, loss:0.063149154, pMS_max:0.9392163, pMS_min:0.015609503, elapsed_time:0:14:41.858703

Epoch:27/80: step:4300, lr:0.00012203348, loss:0.06283169, pMS_max:0.94200176, pMS_min:0.016290039, elapsed_time:0:15:02.338046

