WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (4914, 264, 264, 1)
gt_data shape: (4914, 264, 264, 4)
data shape: (4914, 264, 264, 5)
Epoches: 8, Batch_size: 8
Train images number 4914, Batches: 614.

Train set has been trimmed 2 samples...

2021-12-03 07:05:00.597948: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-03 07:05:01.095489: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-03 07:05:07.594069: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/8: step:10, lr:0.0019927449, loss:16.923424, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:10.937984

Epoch:1/8: step:20, lr:0.0019855157, loss:19.338974, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:13.213225

Epoch:1/8: step:30, lr:0.0019783129, loss:39.471134, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:15.559780

Epoch:1/8: step:40, lr:0.001971136, loss:18.517006, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:18.018797

Epoch:1/8: step:50, lr:0.0019639856, loss:11.690791, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:20.284126

Epoch:1/8: step:60, lr:0.001956861, loss:9.516258, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:22.534234

Epoch:1/8: step:70, lr:0.0019497622, loss:55.555553, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:24.743147

Epoch:1/8: step:80, lr:0.0019426891, loss:15.350353, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:26.960552

Epoch:1/8: step:90, lr:0.0019356417, loss:26.197258, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:29.225306

Epoch:1/8: step:100, lr:0.0019286198, loss:15.366285, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:31.518327

Epoch:1/8: step:110, lr:0.0019216236, loss:35.87726, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:33.698652

Epoch:1/8: step:120, lr:0.0019146524, loss:12.16406, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:35.934288

Epoch:1/8: step:130, lr:0.0019077066, loss:42.19068, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:38.207980

Epoch:1/8: step:140, lr:0.0019007862, loss:30.985697, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:40.430822

Epoch:1/8: step:150, lr:0.0018938907, loss:14.070228, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:42.669054

Epoch:1/8: step:160, lr:0.0018870204, loss:30.48582, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:44.928734

Epoch:1/8: step:170, lr:0.0018801749, loss:9.038784, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:47.146756

Epoch:1/8: step:180, lr:0.0018733543, loss:29.424736, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:49.385031

Epoch:1/8: step:190, lr:0.0018665583, loss:23.583357, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:51.676306

Epoch:1/8: step:200, lr:0.0018597872, loss:9.502386, pMS_max:1.0, pMS_min:1.0, elapsed_time:0:00:54.056349

