WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (1296, 264, 264, 1)
gt_data shape: (1296, 264, 264, 4)
data shape: (1296, 264, 264, 5)
Epoches: 30, Batch_size: 8
Train images number 1296, Batches: 162.

2021-12-05 10:08:42.994113: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-05 10:08:44.691756: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38414 MB memory:  -> device: 0, name: A100-PCIE-40GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2021-12-05 10:08:44.693620: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:1 with 38414 MB memory:  -> device: 1, name: A100-PCIE-40GB, pci bus id: 0000:82:00.0, compute capability: 8.0
2021-12-05 10:08:44.695396: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:2 with 38414 MB memory:  -> device: 2, name: A100-PCIE-40GB, pci bus id: 0000:c1:00.0, compute capability: 8.0
2021-12-05 10:08:44.697150: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:3 with 38414 MB memory:  -> device: 3, name: A100-PCIE-40GB, pci bus id: 0000:c2:00.0, compute capability: 8.0
out shape: (8, 264, 264, 4)
PAN_converted_MS shape: (8, 264, 264, 4)
<tf.Variable 'pMS_ED/encoder/conv1/kernel:0' shape=(3, 3, 1, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv1/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/kernel:0' shape=(3, 3, 32, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv2/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/kernel:0' shape=(3, 3, 64, 96) dtype=float32_ref>
<tf.Variable 'pMS_ED/encoder/conv3/bias:0' shape=(96,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/kernel:0' shape=(3, 3, 96, 64) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_1/bias:0' shape=(64,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/kernel:0' shape=(3, 3, 64, 32) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_2/bias:0' shape=(32,) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/kernel:0' shape=(3, 3, 32, 4) dtype=float32_ref>
<tf.Variable 'pMS_ED_1/decoder/conv2_3/bias:0' shape=(4,) dtype=float32_ref>
2021-12-05 10:08:48.269081: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/30: step:100, lr:0.0017426455, loss:0.22372067, pMS_max:0.851931, pMS_min:0.019304603, elapsed_time:0:00:29.359811

Epoch:2/30: step:200, lr:0.0015184064, loss:0.15727723, pMS_max:0.9034134, pMS_min:0.020913005, elapsed_time:0:00:52.346794

Epoch:2/30: step:300, lr:0.001323022, loss:0.13761418, pMS_max:0.90163684, pMS_min:0.022256374, elapsed_time:0:01:14.302454

Epoch:3/30: step:400, lr:0.0011527791, loss:0.12467016, pMS_max:0.90740937, pMS_min:0.021553844, elapsed_time:0:01:36.418855

Epoch:4/30: step:500, lr:0.0010044425, loss:0.11976229, pMS_max:0.9113184, pMS_min:0.021701336, elapsed_time:0:01:58.813540

Epoch:4/30: step:600, lr:0.00087519345, loss:0.11548897, pMS_max:0.91617143, pMS_min:0.021429807, elapsed_time:0:02:20.790436

Epoch:5/30: step:700, lr:0.00076257583, loss:0.11090445, pMS_max:0.92384964, pMS_min:0.020098716, elapsed_time:0:02:43.328680

Epoch:5/30: step:800, lr:0.00066444965, loss:0.11369939, pMS_max:0.9181341, pMS_min:0.02045232, elapsed_time:0:03:05.350889

Epoch:6/30: step:900, lr:0.00057895004, loss:0.107490845, pMS_max:0.924351, pMS_min:0.018506736, elapsed_time:0:03:28.014374

Epoch:7/30: step:1000, lr:0.0005044523, loss:0.1043583, pMS_max:0.9263947, pMS_min:0.017986774, elapsed_time:0:03:50.520402

Epoch:7/30: step:1100, lr:0.00043954072, loss:0.10385561, pMS_max:0.9286865, pMS_min:0.01524502, elapsed_time:0:04:12.446412

Epoch:8/30: step:1200, lr:0.00038298176, loss:0.10318193, pMS_max:0.92598104, pMS_min:0.015324146, elapsed_time:0:04:34.925820

Epoch:9/30: step:1300, lr:0.00033370068, loss:0.10053638, pMS_max:0.92705375, pMS_min:0.014334291, elapsed_time:0:04:57.366679

Epoch:9/30: step:1400, lr:0.00029076095, loss:0.10004418, pMS_max:0.9279234, pMS_min:0.013452053, elapsed_time:0:05:19.286826

Epoch:10/30: step:1500, lr:0.0002533466, loss:0.09846975, pMS_max:0.9276185, pMS_min:0.012932658, elapsed_time:0:05:41.966267

Epoch:10/30: step:1600, lr:0.00022074668, loss:0.09734453, pMS_max:0.927073, pMS_min:0.013225406, elapsed_time:0:06:03.992283

Epoch:11/30: step:1700, lr:0.00019234157, loss:0.09913576, pMS_max:0.92940164, pMS_min:0.012274802, elapsed_time:0:06:26.574150

Epoch:12/30: step:1800, lr:0.00016759156, loss:0.09664258, pMS_max:0.9262752, pMS_min:0.01259473, elapsed_time:0:06:49.318804

Epoch:12/30: step:1900, lr:0.0001460263, loss:0.09757523, pMS_max:0.925897, pMS_min:0.01281178, elapsed_time:0:07:11.387213

Epoch:13/30: step:2000, lr:0.00012723604, loss:0.09515212, pMS_max:0.92840064, pMS_min:0.012455255, elapsed_time:0:07:33.886887

Epoch:13/30: step:2100, lr:0.00011086366, loss:0.09411357, pMS_max:0.9287135, pMS_min:0.012319028, elapsed_time:0:07:55.667966

Epoch:14/30: step:2200, lr:9.6598014e-05, loss:0.0956663, pMS_max:0.92959166, pMS_min:0.012563407, elapsed_time:0:08:18.349199

Epoch:15/30: step:2300, lr:8.416805e-05, loss:0.0941144, pMS_max:0.92940784, pMS_min:0.012472779, elapsed_time:0:08:41.024527

Epoch:15/30: step:2400, lr:7.333752e-05, loss:0.09414084, pMS_max:0.9287367, pMS_min:0.012656122, elapsed_time:0:09:03.116214

