WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (1296, 264, 264, 1)
gt_data shape: (1296, 264, 264, 4)
data shape: (1296, 264, 264, 5)
Epoches: 30, Batch_size: 10
Train images number 1296, Batches: 129.

Train set has been trimmed 6 samples...

2021-12-09 03:42:27.624405: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-09 03:42:29.327319: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 38414 MB memory:  -> device: 0, name: A100-PCIE-40GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2021-12-09 03:42:29.329242: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:1 with 38414 MB memory:  -> device: 1, name: A100-PCIE-40GB, pci bus id: 0000:82:00.0, compute capability: 8.0
2021-12-09 03:42:29.331010: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:2 with 38414 MB memory:  -> device: 2, name: A100-PCIE-40GB, pci bus id: 0000:c1:00.0, compute capability: 8.0
2021-12-09 03:42:29.332809: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:3 with 38414 MB memory:  -> device: 3, name: A100-PCIE-40GB, pci bus id: 0000:c2:00.0, compute capability: 8.0
out shape: (10, 264, 264, 1)
2021-12-09 03:42:31.539081: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/30: step:100, lr:0.0017632586, loss:0.0084253205, elapsed_time:0:00:18.364390

Epoch:2/30: step:200, lr:0.0015545404, loss:0.0011957723, elapsed_time:0:00:29.245451

Epoch:3/30: step:300, lr:0.0013705282, loss:0.00081148616, elapsed_time:0:00:40.104244

Epoch:4/30: step:400, lr:0.0012082979, loss:0.00062439335, elapsed_time:0:00:51.001478

Epoch:4/30: step:500, lr:0.0010652709, loss:0.0005755562, elapsed_time:0:01:01.346373

Epoch:5/30: step:600, lr:0.0009391739, loss:0.0004860113, elapsed_time:0:01:12.126018

Epoch:6/30: step:700, lr:0.00082800316, loss:0.00047649432, elapsed_time:0:01:22.987376

Epoch:7/30: step:800, lr:0.0007299919, loss:0.00039431223, elapsed_time:0:01:33.890506

Epoch:7/30: step:900, lr:0.00064358214, loss:0.00037328078, elapsed_time:0:01:44.199610

Epoch:8/30: step:1000, lr:0.0005674008, loss:0.0003683935, elapsed_time:0:01:55.137891

Epoch:9/30: step:1100, lr:0.00050023716, loss:0.0003461368, elapsed_time:0:02:06.042612

Epoch:10/30: step:1200, lr:0.00044102382, loss:0.00032709198, elapsed_time:0:02:17.004682

Epoch:11/30: step:1300, lr:0.00038881946, loss:0.00032351917, elapsed_time:0:02:27.903542

Epoch:11/30: step:1400, lr:0.00034279455, loss:0.00031227767, elapsed_time:0:02:38.238544

Epoch:12/30: step:1500, lr:0.00030221776, loss:0.00031432472, elapsed_time:0:02:49.182673

Epoch:13/30: step:1600, lr:0.00026644408, loss:0.000288077, elapsed_time:0:03:00.215313

Epoch:14/30: step:1700, lr:0.00023490489, loss:0.00029542774, elapsed_time:0:03:11.229560

Epoch:14/30: step:1800, lr:0.00020709902, loss:0.00028093695, elapsed_time:0:03:21.581529

Epoch:15/30: step:1900, lr:0.00018258454, loss:0.00028839707, elapsed_time:0:03:32.485427

Epoch:16/30: step:2000, lr:0.00016097186, loss:0.00027925253, elapsed_time:0:03:43.387162

Epoch:17/30: step:2100, lr:0.00014191751, loss:0.0002726118, elapsed_time:0:03:54.227814

