WARNING:tensorflow:From /usr/local/lib/python3.8/dist-packages/tensorflow/python/compat/v2_compat.py:111: disable_resource_variables (from tensorflow.python.ops.variable_scope) is deprecated and will be removed in a future version.
Instructions for updating:
non-resource variables are not supported in the long term
source_pan_data shape: (1296, 264, 264, 1)
gt_data shape: (1296, 264, 264, 4)
data shape: (1296, 264, 264, 5)
Epoches: 100, Batch_size: 10
Train images number 1296, Batches: 129.

Train set has been trimmed 6 samples...

2021-12-06 01:12:42.912228: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-12-06 01:12:43.439923: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78874 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:27:00.0, compute capability: 8.0
out shape: (10, 66, 66, 4)
2021-12-06 01:12:46.509660: I tensorflow/stream_executor/cuda/cuda_dnn.cc:366] Loaded cuDNN version 8301
Epoch:1/100: step:100, lr:0.0018431431, loss:0.17998943, elapsed_time:0:00:09.776202

Epoch:2/100: step:200, lr:0.0016985885, loss:0.06923156, elapsed_time:0:00:14.005212

Epoch:3/100: step:300, lr:0.0015653707, loss:0.041667342, elapsed_time:0:00:18.179171

Epoch:4/100: step:400, lr:0.0014426013, loss:0.036972575, elapsed_time:0:00:22.432959

Epoch:4/100: step:500, lr:0.0013294602, loss:0.020934, elapsed_time:0:00:25.881172

Epoch:5/100: step:600, lr:0.0012251928, loss:0.018681094, elapsed_time:0:00:30.004031

Epoch:6/100: step:700, lr:0.0011291028, loss:0.016655292, elapsed_time:0:00:34.206453

Epoch:7/100: step:800, lr:0.0010405491, loss:0.013644885, elapsed_time:0:00:38.427225

Epoch:7/100: step:900, lr:0.0009589404, loss:0.012209439, elapsed_time:0:00:41.561278

Epoch:8/100: step:1000, lr:0.0008837322, loss:0.014609254, elapsed_time:0:00:45.913174

Epoch:9/100: step:1100, lr:0.00081442244, loss:0.011750496, elapsed_time:0:00:50.028360

Epoch:10/100: step:1200, lr:0.0007505486, loss:0.010313909, elapsed_time:0:00:53.951103

Epoch:11/100: step:1300, lr:0.0006916842, loss:0.010078928, elapsed_time:0:00:58.163284

Epoch:11/100: step:1400, lr:0.0006374365, loss:0.00997703, elapsed_time:0:01:01.126155

Epoch:12/100: step:1500, lr:0.00058744336, loss:0.009169498, elapsed_time:0:01:04.866227

Epoch:13/100: step:1600, lr:0.0005413712, loss:0.00947291, elapsed_time:0:01:08.623870

Epoch:14/100: step:1700, lr:0.00049891236, loss:0.009161042, elapsed_time:0:01:12.199880

Epoch:14/100: step:1800, lr:0.0004597833, loss:0.008330893, elapsed_time:0:01:15.022871

Epoch:15/100: step:1900, lr:0.00042372328, loss:0.008238704, elapsed_time:0:01:18.678299

Epoch:16/100: step:2000, lr:0.00039049133, loss:0.0077186236, elapsed_time:0:01:22.333869

Epoch:17/100: step:2100, lr:0.00035986572, loss:0.0073357034, elapsed_time:0:01:26.528056

Epoch:18/100: step:2200, lr:0.00033164193, loss:0.0072332523, elapsed_time:0:01:30.296860

Epoch:18/100: step:2300, lr:0.0003056318, loss:0.0072066532, elapsed_time:0:01:33.160868

Epoch:19/100: step:2400, lr:0.00028166163, loss:0.00696088, elapsed_time:0:01:37.028284

Epoch:20/100: step:2500, lr:0.00025957136, loss:0.006763273, elapsed_time:0:01:41.313562

Epoch:21/100: step:2600, lr:0.00023921355, loss:0.006571034, elapsed_time:0:01:45.346155

Epoch:21/100: step:2700, lr:0.00022045239, loss:0.0065676267, elapsed_time:0:01:48.416197

Epoch:22/100: step:2800, lr:0.00020316268, loss:0.006572487, elapsed_time:0:01:52.287943

Epoch:23/100: step:2900, lr:0.00018722896, loss:0.006342167, elapsed_time:0:01:56.157433

Epoch:24/100: step:3000, lr:0.00017254485, loss:0.0062264223, elapsed_time:0:02:00.123944

Epoch:25/100: step:3100, lr:0.00015901247, loss:0.0062595555, elapsed_time:0:02:03.994089

Epoch:25/100: step:3200, lr:0.00014654135, loss:0.0060591158, elapsed_time:0:02:07.199624

Epoch:26/100: step:3300, lr:0.00013504832, loss:0.0056533674, elapsed_time:0:02:11.080705

